"公司名","曾用名","联系电话","公司网站","法人","地址","简介__","简介____-","简介","注册资本","公司状态","工商注册号","组织机构代码","统一信用代码","公司类型","纳税人识别号","所属行业","人员规模","实缴资本","登记机关","参保人数","英文名","注册地址","经营范围","法人简介","执照实拍","当前企业网址","邮箱","注册时间","成立日期"
"经济技术开发区客满缘火锅店","-","18623200332","暂无","邱孝林","重庆市南岸区香溪路1号附50号2-4、5、6、7、8、9、10、14、15号","","","暂无","-","存续（在营、开业、在册）","500902603729821","-","92500108MA5UN9F09Y","个体工商户","92500108MA5UN9F09Y","住宿和餐饮业","-","-","重庆市工商行政管理局南岸区分局经开区局","-","-","重庆市南岸区香溪路1号附50号2-4、5、6、7、8、9、10、14、15号","中型餐馆(不含:凉菜、生食海产品、裱花蛋糕、冷热饮品制售)(法律、法规禁止经营的不得经营;法律、法规规定应经许可审批而未获许可审批前不得经营)","https://www.qichacha.com/pl_pb601b925c0b54d6bf9e9d5f67ef8d75.html","未上传","https://www.qichacha.com/firm_761c9f2d77f7e8a8293fa2e56ebb6134.html","暂无","2017-06-20","2014-10-10"
"重庆市渝中区凯君公寓","-","暂无","暂无","张君 ","重庆市渝中区医学院路5号2-8、2-9",""," ","","15万人民币元","存续(在营、开业、在册)","500103200013002","69929202-6","915001036992920262","个人独资企业","915001036992920262","住宿和餐饮业","-","-","重庆市工商行政管理局渝中区分局","-","-","重庆市渝中区医学院路5号2-8、2-9","住宿(按许可证核定期限及范围从事营)。『法律、法规禁止经营的不得经营;法律、法规规定应经审批而未获审批前不得经营。』★★","https://www.qichacha.com/pl_p53bb94792311337165bedda4a8ae9f7.html","未上传","https://www.qichacha.com/firm_d9697435f6015b60b1e0f639dc2d7356.html","21386617@qq.com","2016-05-04","2010-01-28"
"重庆梧桐锦餐饮文化管理有限公司","-","暂无","暂无","黄国鹏 ","重庆市九龙坡区九滨路9号“九龙滨江”商业广场9号楼一层",""," ","","100万人民币元","存续(在营、开业、在册)","500107009391544","MA5UCJB1-9","91500107MA5UCJB19H","有限责任公司","91500107MA5UCJB19H","租赁和商务服务业","-","-","重庆市工商行政管理局九龙坡区分局","-","-","重庆市九龙坡区九滨路9号“九龙滨江”商业广场9号楼一层","餐饮管理;餐饮服务(取得相关行政许可后方可从事经营);餐饮文化咨询服务;餐饮文化推广及研发;承办经批准的文化艺术交流活动;销售:厨房设备、厨具、日用百货、农副产品(需经国家专项审批的项目除外)、不锈钢制品。**【以上经营范围依法须经批准的项目,经相关部门批准后方可开展经营活动】","https://www.qichacha.com/pl_p20f1f8843ab6b9a6d60f8883d3c8b3b.html","http://qccdata.qichacha.com/ECIScreen/32d7a321f1a2afd20b7135ad450ad94f/20170810041711034.png","https://www.qichacha.com/firm_32d7a321f1a2afd20b7135ad450ad94f.html","暂无","2017-02-28","2017-02-28"
"山东大自然景观工程有限公司","-","暂无","暂无","邢绍森 ","泰安高新技术产业开发区创业中心",""," ","","1000万人民币元","在营（开业）企业","370900228025825","76576775-6","91370900765767756G","有限责任公司(自然人投资或控股)","91370900765767756G","建筑业","-","1000万人民币元","泰安市工商行政管理局","-","Tai'anDaziranHorticultureCo.,Ltd.","泰安高新技术产业开发区创业中心","园林规划设计;风景旅游区规划设计;园林施工、绿化、养护;园林古建筑、喷泉、雕塑;市政公用工程;建筑工程;土地整理;水安装;室内外照明工程施工。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。","https://www.qichacha.com/pl_p4d1d9da8288906b0fee31db7d1b61b5.html","http://qccdata.qichacha.com/ECIScreen/9ab0ea1a2d3232df25f9e3da7f69eaa3/20170830213606499.png","https://www.qichacha.com/firm_9ab0ea1a2d3232df25f9e3da7f69eaa3.html","sddzr@126.com","2016-05-25","2004-07-21"
"重庆洋世达物业管理有限公司长寿分公司","-","暂无","暂无","何长君 ","重庆市长寿区桃花新城阳光世纪城B区",""," ","","-","存续(在营、开业、在册)","500221300019446","78747506-8","915001157874750681","分公司","915001157874750681","房地产业","-","-","重庆市工商行政管理局长寿区分局","-","ChongqingYangshidaPropertyManagementCo.,Ltd.ChangshouBranch","重庆市长寿区桃花新城阳光世纪城B区","物业管理(凭资质证书执业)、房屋租赁、服装干洗、销售:日用杂品(不含烟花爆竹)**","https://www.qichacha.com/pl_pcad9dd612d9931ab00b86e0ffb2940a.html","http://qccdata.qichacha.com/ECIScreen/078920ff281ea173004c7c5d587b2e0b/20180304222804253.png","https://www.qichacha.com/firm_078920ff281ea173004c7c5d587b2e0b.html","253306365@qq.com","2016-04-18","2006-04-07"
"重庆韦卫怡家五金有限公司","-","暂无","暂无","魏雪梅 ","重庆市江津区珞璜镇珞璜工业园B区津东路1号睿容标准厂房1幢负1-3",""," ","","10万人民币元","存续(在营、开业、在册)","500381008160293","34605912-2","91500116346059122M","有限责任公司","91500116346059122M","制造业","-","-","重庆市工商行政管理局江津区分局","-","-","重庆市江津区珞璜镇珞璜工业园B区津东路1号睿容标准厂房1幢负1-3","加工、销售:五金产品、塑料制品、不锈钢制品;销售:卫浴用品、陶瓷用品、玻璃制品、电器设备、通用机械零配件、办公设备、文化用品、体育用品、厨具、电线电缆、办公用品、日用百货、家居用品、床上用品。[以上范围法律法规禁止经营的不得经营;法律法规规定应经审批而未获审批前不得经营]***","https://www.qichacha.com/pl_pca2d6ac16e85330a374a047f2b5cdcf.html","未上传","https://www.qichacha.com/firm_29d5d0bef2b75f48ff1ddee1ffa961fb.html","暂无","2017-08-17","2015-07-28"
"重庆宏实置业代理有限公司海尔路店","-","暂无","暂无","张凯 ","重庆市江北区海尔路199号附6号",""," ","","-","存续(在营、开业、在册)","500105302584726","30518401-5","91500105305184015H","分公司","91500105305184015H","租赁和商务服务业","-","-","重庆市工商行政管理局江北区分局","-","-","重庆市江北区海尔路199号附6号","房屋经纪;房屋信息咨询;代办贷款手续(不得从事吸收公众存款或变相吸收公众存款、发放贷款以及证券、期货等金融业务)。**[依法须经批准的项目,经相关部门批准后方可开展经营活动]","https://www.qichacha.com/pl_pdf28d61db747451600dbae683e2b2f3.html","未上传","https://www.qichacha.com/firm_77da0ec595da4801dfc4c4d9bd3affb1.html","1494147513@qq.com","2016-10-12","2014-07-15"
"重庆新环金物业管理有限公司","-","暂无","暂无","李翊 ","重庆市渝中区民族路188号3602单元"," ","","","50万人民币元","存续(在营、开业、在册)","500103002201310","30516125-1","91500103305161251J","有限责任公司","91500103305161251J","房地产业","100-499人","-","重庆市工商行政管理局渝中区分局","-","-","重庆市渝中区民族路188号3602单元","物业管理(凭资质许可证从事经营);清洁服务(法律、法规规定需许可或审批的项目除外);停车场管理;房屋租赁(国家有专项规定的除外);商场管理;从事建筑相关业务(须经审批的经营项目,取得审批后方可从事经营);销售:建筑材料、装饰材料(以上2项不含危险化学品);家政服务(法律、行政法规规定禁止的项目除外,法律、行政法规规定限制的项目取得许可后方可经营);房地产经纪服务;会议服务(法律、法规规定需审批或许可的项目除外);企业管理咨询。『依法须经批准的项目,经相关部门批准后方可开展经营活动』★★","https://www.qichacha.com/pl_p756982529b7b584ba8acf1fdca220da.html","http://qccdata.qichacha.com/ECIScreen/e3f7721d92971791837fd3663a7e21a4/20170805153959940.png","https://www.qichacha.com/firm_e3f7721d92971791837fd3663a7e21a4.html","ranlh@worthyland.com","2017-03-07","2014-07-10"
"","","","","","","﻿﻿","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 重庆新环金物业管理有限公司","","","","","","","","","","","","","","","","","","","","","","",""
